topic,cluster,med_freq,min_freq,max_freq,count_meas,count_proj,min_band,max_band,mode_band,width
3,7,98.925,98.625,99.32,10,6,3,3,3.0,0.6949999999999932
3,8,96.75,96.41,97.57,11,8,3,3,3.0,1.1599999999999966
3,9,97.97,97.965,98.0,5,4,3,3,3.0,0.03499999999999659
3,10,265.86,265.73,265.895,7,2,6,6,6.0,0.16499999999996362
3,11,267.5375,266.915,267.81,10,3,6,6,6.0,0.8949999999999818
3,12,91.975,91.97,92.49,5,3,3,3,3.0,0.519999999999996
3,13,93.17,93.14,93.175,9,5,3,3,3.0,0.03499999999999659
3,14,227.05,225.66,227.765,8,3,6,6,6.0,2.1049999999999898
3,15,88.645,88.395,89.72,11,6,3,3,3.0,1.3250000000000028
3,16,217.12,216.455,217.395,9,5,6,6,6.0,0.9399999999999977
3,17,230.535,230.515,230.55,8,5,6,6,6.0,0.03500000000002501
3,18,218.435,218.285,218.725,5,4,6,6,6.0,0.4399999999999977
3,19,231.2,231.185,231.915,7,4,6,6,6.0,0.7299999999999898
3,20,232.99,231.915,233.0,8,4,6,6,6.0,1.085000000000008
3,21,90.655,90.63,90.68,12,6,3,3,3.0,0.05000000000001137
3,22,90.98,90.98,91.2,5,4,3,3,3.0,0.21999999999999886
3,23,219.56,219.18,219.95,15,7,6,6,6.0,0.7699999999999818
3,24,220.3975,220.38,220.46,6,5,6,6,6.0,0.0800000000000125
3,25,86.355,86.33,86.525,7,5,3,3,3.0,0.1950000000000074
3,26,86.75,86.74,86.78,8,7,3,3,3.0,0.04000000000000625
3,27,86.8425,86.83,86.86,10,8,3,3,3.0,0.030000000000001137
4,-1,342.55,88.705,493.98,29,13,3,8,6.586206896551724,405.27500000000003
4,0,148.685,143.78,161.235,9,2,4,4,4.0,17.455000000000013
4,1,113.555,108.46,114.975,15,6,3,3,3.0,6.515000000000001
4,2,97.54,93.925,102.57,7,3,3,3,3.0,8.644999999999996
4,3,340.4925,340.365,340.715,6,3,7,7,7.0,0.3499999999999659
4,4,344.29999999999995,343.755,344.515,8,4,7,7,7.0,0.7599999999999909
4,5,345.695,345.335,345.88,7,4,7,7,7.0,0.5450000000000159
4,6,351.2475,351.145,352.595,6,3,7,7,7.0,1.4500000000000455
4,7,354.69,353.295,355.43,13,6,7,7,7.0,2.134999999999991
4,8,230.89,229.52,232.205,13,6,6,6,6.0,2.6850000000000023
